fy (MPa),fcy150,再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
632,56.64,0,170,170,3,0,480,0,0,3671
632,56.64,0,170,170,3,0,480,0,0,3567
632,56.64,0,170,170,3,0,480,0,0,3405
632,56.64,0,170,170,3,0,480,0,0,3360
632,56.64,0,170,170,3,0,480,0,0,3298
632,56.64,0,170,170,3,0,480,0,0,3813
632,56.64,0,170,170,3,0,480,0,0,3780
632,56.64,0,170,170,3,0,480,0,0,3935
632,56.64,0,170,170,3,0,480,0,0,3601
632,56.64,0,170,170,3,0,480,0,0,3838
632,56.64,0,170,170,3,0,480,0,0,3490
632,56.64,0,170,170,3,0,480,0,0,3748
632,56.64,0,170,170,3,0,480,0,0,3620
632,56.64,0,170,170,3,0,480,0,0,3555
343,43.28,0,120,120,2,0,360,0,0,1200
343,43.28,0,120,120,2,0,360,0,0,1400
343,43.28,0,120,120,2,0,360,0,0,1600
350,43.28,0,120,120,3,0,360,0,0,1800
350,43.28,0,120,120,3,0,360,0,0,1900
350,43.28,0,120,120,3,0,360,0,0,2000
343,43.28,0,150,100,2,0,300,0,0,1100
343,43.28,0,150,100,2,0,300,0,0,1300
343,43.28,0,150,100,2,0,300,0,0,1500
367,43.28,0,150,100,3,0,300,0,0,1700
367,43.28,0,150,100,3,0,300,0,0,1800
367,43.28,0,150,100,3,0,300,0,0,1900
395,62.09,0,180,180,5.8,0,540,0,0,3659
395,62.09,0,180,180,5.8,0,540,0,0,3593
395,62.09,0,180,180,5.8,0,540,0,0,3705
395,62.09,0,180,180,5.8,0,2240,0,0,3217
395,62.09,0,180,180,5.8,0,2240,84,84,5071
395,62.09,0,180,180,5.8,0,2240,126,126,4583
395,62.09,0,180,180,5.8,0,2240,168,168,4057
395,62.09,0,180,180,5.8,0,2240,168,168,3991
465,52.19,0,200,200,4.77,0,600,0,0,3628
465,52.19,0,200,200,4.77,0,600,0,0,4118
465,52.19,0,200,200,4.77,50,600,0,0,4665
465,52.19,0,200,200,4.77,50,600,0,0,5453
425,52.19,0,200,200,7.65,0,600,0,0,4287
425,52.19,0,200,200,7.65,0,600,0,0,4982
425,52.19,0,200,200,7.65,50,600,0,0,5500
425,52.19,0,200,200,7.65,50,600,0,0,5926
660,52.19,0,200,200,7.72,0,600,0,0,6099
660,52.19,0,200,200,7.72,0,600,0,0,6730
660,52.19,0,200,200,7.72,50,600,0,0,7168
660,52.19,0,200,200,7.72,50,600,0,0,7977
444,32.42,0,200,100,3,0,1680,10,10,2030
444,32.42,0,200,100,3,0,1680,30,30,1909
444,32.42,0,200,100,3,0,1680,50,50,1466
444,32.42,0,200,80,3,0,1680,30,30,1919
444,32.42,0,200,100,3,0,1680,30,30,1401
444,32.42,0,200,100,3,0,1680,30,30,1356
376,46.9,0,200,200,3.75,0,600,0,0,3680
376,46.9,1,200,200,3.75,0,600,0,0,3560
376,46.9,5,200,200,3.75,0,600,0,0,3150
376,46.9,10,200,200,3.75,0,600,0,0,2800
376,46.9,15,200,200,3.75,0,600,0,0,2700
376,46.9,10,200,200,3.75,0,600,0,0,2400
376,46.9,10,200,200,3.75,0,600,0,0,2086
376,46.9,15,200,200,3.75,0,600,0,0,2950
376,46.9,10,200,200,3.75,0,600,0,0,2850
376,46.9,10,200,200,3.75,0,600,0,0,2750
376,46.9,10,200,200,3.75,0,600,0,0,2650
376,46.9,10,200,200,3.75,0,600,0,0,2550
368.52,65.65,0,160,80,2.5,0,620,0,0,1712.89
368.52,65.65,0,160,80,2.5,0,620,0,0,2303.76
368.52,65.65,0,160,80,2.5,0,620,0,0,2535.24
368.52,65.65,0,160,80,2.5,0,650,0,0,2145
368.52,65.65,0,160,80,3.5,0,620,0,0,2887.69
368.52,65.65,0,160,80,4.5,0,620,0,0,3011.81
368.52,65.65,0,160,80,2.5,0,620,0,0,1621.88
378,60.1,0,230,230,4,0,1150,0,0,2900
378,62.71,100,230,230,4,0,1150,0,0,3100
378,62.71,100,230,230,4,0,1150,0,0,3350
360.4,61.81,0,450,450,7.8,0,1500,0,0,13198
360.4,63.2,100,450,450,7.8,0,1500,0,0,13611
360.4,63.2,100,450,450,7.8,0,1500,0,0,16636
668.8,90.45,0,100,100,4.9,0,300,0,0,1949.5
646.2,79.53,0,100,100,4.9,0,300,0,0,1784.6
646.2,79.53,0,100,100,4.9,0,300,0,0,1629
599.5,101.38,0,100,100,5.8,0,300,0,0,2376.6
599.5,118.24,0,100,100,5.8,0,300,0,0,2546.3
599.5,90.45,0,100,100,5.8,0,300,0,0,2183.6
521.9,118.24,0,100,100,6.8,0,300,0,0,2500.9
521.9,101.38,0,100,100,6.8,0,300,0,0,2210.3
521.9,90.45,0,100,100,6.8,0,300,0,0,2401
521.9,79.53,0,100,100,6.8,0,300,0,0,2235
468.6,118.24,0,100,100,10,0,300,0,0,2443
468.6,101.38,0,100,100,10,0,300,0,0,2305.8
468.6,101.38,0,100,100,10,0,300,0,0,2544.5
468.6,79.53,0,100,100,10,0,300,0,0,2220.3
444.6,118.24,0,100,100,14.2,0,300,0,0,3325
444.6,101.38,0,100,100,14.2,0,300,0,0,3175.2
444.6,101.38,0,100,100,14.2,0,300,0,0,3315.9
444.6,79.53,0,100,100,14.2,0,300,0,0,3473.6
444.6,118.24,0,100,100,18.5,0,300,0,0,3714.4
444.6,118.24,0,100,100,18.5,0,300,0,0,3635
322.8,34.4,0,200,200,3.9,0,3810,0,0,1608
322.8,34.4,0,200,200,3.9,0,3810,0,0,1854
322.8,34.4,0,200,200,3.9,0,3810,0,0,1578
322.8,34.4,0,200,200,3.9,0,3810,0,0,1549
322.8,34.4,0,200,200,3.9,0,3810,0,0,1424
322.8,34.4,0,200,200,3.9,0,3810,0,0,1307
