fy (MPa),fcy150,再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3671
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3567
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3405
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3360
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3298
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3813
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3780
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3935
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3601
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3838
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3490
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3748
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3620
632.0,56.64,0,170.0,170.0,3.0,0.0,480.0,0.0,0.0,3555
343.0,43.28,0,120.0,120.0,2.0,0.0,360.0,0.0,0.0,1200
343.0,43.28,0,120.0,120.0,2.0,0.0,360.0,0.0,0.0,1400
343.0,43.28,0,120.0,120.0,2.0,0.0,360.0,0.0,0.0,1600
350.0,43.28,0,120.0,120.0,3.0,0.0,360.0,0.0,0.0,1800
350.0,43.28,0,120.0,120.0,3.0,0.0,360.0,0.0,0.0,1900
350.0,43.28,0,120.0,120.0,3.0,0.0,360.0,0.0,0.0,2000
343.0,43.28,0,150.0,100.0,2.0,0.0,300.0,0.0,0.0,1100
343.0,43.28,0,150.0,100.0,2.0,0.0,300.0,0.0,0.0,1300
343.0,43.28,0,150.0,100.0,2.0,0.0,300.0,0.0,0.0,1500
367.0,43.28,0,150.0,100.0,3.0,0.0,300.0,0.0,0.0,1700
367.0,43.28,0,150.0,100.0,3.0,0.0,300.0,0.0,0.0,1800
367.0,43.28,0,150.0,100.0,3.0,0.0,300.0,0.0,0.0,1900
395.0,62.09,0,180.0,180.0,5.8,0.0,540.0,0.0,0.0,3659
395.0,62.09,0,180.0,180.0,5.8,0.0,540.0,0.0,0.0,3593
395.0,62.09,0,180.0,180.0,5.8,0.0,540.0,0.0,0.0,3705
395.0,62.09,0,180.0,180.0,5.8,0.0,2240.0,0.0,0.0,3217
395.0,62.09,0,180.0,180.0,5.8,0.0,2240.0,84.0,84.0,5071
395.0,62.09,0,180.0,180.0,5.8,0.0,2240.0,126.0,126.0,4583
395.0,62.09,0,180.0,180.0,5.8,0.0,2240.0,168.0,168.0,4057
395.0,62.09,0,180.0,180.0,5.8,0.0,2240.0,168.0,168.0,3991
465.0,52.19,0,200.0,200.0,4.77,0.0,600.0,0.0,0.0,3628
465.0,52.19,0,200.0,200.0,4.77,0.0,600.0,0.0,0.0,4118
465.0,52.19,0,200.0,200.0,4.77,50.0,600.0,0.0,0.0,4665
465.0,52.19,0,200.0,200.0,4.77,50.0,600.0,0.0,0.0,5453
425.0,52.19,0,200.0,200.0,7.65,0.0,600.0,0.0,0.0,4287
425.0,52.19,0,200.0,200.0,7.65,0.0,600.0,0.0,0.0,4982
425.0,52.19,0,200.0,200.0,7.65,50.0,600.0,0.0,0.0,5500
425.0,52.19,0,200.0,200.0,7.65,50.0,600.0,0.0,0.0,5926
660.0,52.19,0,200.0,200.0,7.72,0.0,600.0,0.0,0.0,6099
660.0,52.19,0,200.0,200.0,7.72,0.0,600.0,0.0,0.0,6730
660.0,52.19,0,200.0,200.0,7.72,50.0,600.0,0.0,0.0,7168
660.0,52.19,0,200.0,200.0,7.72,50.0,600.0,0.0,0.0,7977
444.0,32.42,0,200.0,100.0,3.0,0.0,1680.0,10.0,10.0,2030
444.0,32.42,0,200.0,100.0,3.0,0.0,1680.0,30.0,30.0,1909
444.0,32.42,0,200.0,100.0,3.0,0.0,1680.0,50.0,50.0,1466
444.0,32.42,0,200.0,80.0,3.0,0.0,1680.0,30.0,30.0,1919
444.0,32.42,0,200.0,100.0,3.0,0.0,1680.0,30.0,30.0,1401
444.0,32.42,0,200.0,100.0,3.0,0.0,1680.0,30.0,30.0,1356
376.0,46.9,0,200.0,200.0,3.75,0.0,600.0,0.0,0.0,3680
376.0,46.9,1,200.0,200.0,3.75,0.0,600.0,0.0,0.0,3560
376.0,46.9,5,200.0,200.0,3.75,0.0,600.0,0.0,0.0,3150
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2800
376.0,46.9,15,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2700
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2400
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2086
376.0,46.9,15,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2950
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2850
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2750
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2650
376.0,46.9,10,200.0,200.0,3.75,0.0,600.0,0.0,0.0,2550
368.52,65.65,0,160.0,80.0,2.5,0.0,620.0,0.0,0.0,1712.89
368.52,65.65,0,160.0,80.0,2.5,0.0,620.0,0.0,0.0,2303.76
368.52,65.65,0,160.0,80.0,2.5,0.0,620.0,0.0,0.0,2535.24
368.52,65.65,0,160.0,80.0,2.5,0.0,650.0,0.0,0.0,2145
368.52,65.65,0,160.0,80.0,3.5,0.0,620.0,0.0,0.0,2887.69
368.52,65.65,0,160.0,80.0,4.5,0.0,620.0,0.0,0.0,3011.81
368.52,65.65,0,160.0,80.0,2.5,0.0,620.0,0.0,0.0,1621.88
378.0,60.1,0,230.0,230.0,4.0,0.0,1150.0,0.0,0.0,2900
378.0,62.71,100,230.0,230.0,4.0,0.0,1150.0,0.0,0.0,3100
378.0,62.71,100,230.0,230.0,4.0,0.0,1150.0,0.0,0.0,3350
360.4,61.81,0,450.0,450.0,7.8,0.0,1500.0,0.0,0.0,13198
360.4,63.2,100,450.0,450.0,7.8,0.0,1500.0,0.0,0.0,13611
360.4,63.2,100,450.0,450.0,7.8,0.0,1500.0,0.0,0.0,16636
668.8,90.45,0,100.0,100.0,4.9,0.0,300.0,0.0,0.0,1949.5
646.2,79.53,0,100.0,100.0,4.9,0.0,300.0,0.0,0.0,1784.6
646.2,79.53,0,100.0,100.0,4.9,0.0,300.0,0.0,0.0,1629
599.5,101.38,0,100.0,100.0,5.8,0.0,300.0,0.0,0.0,2376.6
599.5,118.24,0,100.0,100.0,5.8,0.0,300.0,0.0,0.0,2546.3
599.5,90.45,0,100.0,100.0,5.8,0.0,300.0,0.0,0.0,2183.6
521.9,118.24,0,100.0,100.0,6.8,0.0,300.0,0.0,0.0,2500.9
