,b,h,r0,t,R,fy,fc,L,e1,e2,Nexp,r0/h,b/t,Ac,As,Re,te,ke,xi,sigma_re,lambda,lambda_bar,e/h,e1/e2,e_bar
b,1.0,0.918599385361327,0.6958162282447442,0.31510100155787485,-0.12921511027155794,-0.00011260762813594299,-0.061739375593823705,0.26942230813568274,0.10949176007485634,0.14350218621444175,0.7787028956756645,-0.007079481244103702,0.46529595873324525,0.912458311224558,0.7766414921893299,0.9704583315937093,0.34185107568091644,-0.033078112599539744,-0.1613335357981369,-0.22478042051108252,-0.16880187722886414,-0.13987919278344693,-0.04577805608750242,0.03318629463180062,-0.04310663912491535
h,0.918599385361327,1.0,0.7105905155908763,0.3692180993737115,-0.127318594764894,0.007899804727365374,-0.05592814805350764,0.27770387426323495,0.1211602197754273,0.15505134203781062,0.8002330234611909,-0.031536687690864526,0.3823968229304585,0.919134447653548,0.818628028106159,0.9758205839464503,0.3880653510614698,-0.029430525677101915,-0.12624396736215274,-0.21338631034379735,-0.20834403136509957,-0.17710278838577406,-0.046224463878513214,0.04041790307282096,-0.04203476173176545
r0,0.6958162282447442,0.7105905155908763,1.0,0.24269142686184608,-0.118901746637205,-0.07563035820178551,-0.06523391548386782,0.10222641946193625,0.00744773280622629,0.004843868049338357,0.6174545951931061,0.609275370168258,0.3047264140416771,0.6608250335931791,0.6594112843863469,0.6559201740626519,0.38813593098421956,0.6055292744238516,-0.04016564553099447,0.05763989055767487,-0.17722917128526186,-0.14337705650841362,-0.11791343917487622,-0.10645556673673846,-0.06370630156467205
t,0.31510100155787485,0.3692180993737115,0.24269142686184608,1.0,-0.16680510447447047,0.1417222833651167,0.21813357927545726,0.1378311743956458,-0.036827631643432564,-0.027732544363249914,0.5167079968739421,-0.022506991334420873,-0.44877203295370255,0.2851834798083035,0.706690447445889,0.29971813127706703,0.9741071279340052,-0.01931979239193372,0.3141127402409628,0.5106505124816904,-0.045080718336216234,-0.0265305517785582,-0.05825580985714136,-0.06681327786453681,-0.048594072266437645
R,-0.12921511027155794,-0.127318594764894,-0.118901746637205,-0.16680510447447047,1.0,-0.07509782858819791,-0.20466882263282737,-0.07519008403518804,-0.06825896995440907,-0.036912848236032296,-0.11939845679520311,-0.0847031507940451,-0.02082362982346391,-0.0975586792450342,-0.13534464089826512,-0.11994735276984124,-0.17465958016363223,-0.0822231884624624,0.04140270096273919,-0.12713251538335926,0.03043158103200477,-0.0008906542958000828,-0.02713790398907108,0.019813424574143493,-0.05174039197991408
fy,-0.00011260762813594299,0.007899804727365374,-0.07563035820178551,0.1417222833651167,-0.07509782858819791,1.0,0.1323914228442545,0.004762181441656834,0.05054447038364929,0.07708579516740244,0.1191427011295311,-0.1222935331332574,-0.11378336377733976,-0.023256092521573655,0.05111293557080386,0.008924760333696553,0.11451572838770277,-0.11900855907650441,0.17954597009349343,0.49602659879051486,-0.02856884178334939,0.047494826762665865,0.03594441560095363,0.03522577422068581,0.03478090604957678
fc,-0.061739375593823705,-0.05592814805350764,-0.06523391548386782,0.21813357927545726,-0.20466882263282737,0.1323914228442545,1.0,0.01431089514287375,-0.016249027339499917,-0.012334082705507177,0.10725591575940244,-0.01701809664139489,-0.1822055682000197,-0.06712625704632723,0.036579086002806016,-0.06676276435849514,0.20591463485585443,-0.012089334845020172,-0.24219114947960552,0.26103133216480245,-0.017930637612661032,0.10233107829895642,-0.0068515748849821735,-0.009069481146352072,0.0005843939163417511
L,0.26942230813568274,0.27770387426323495,0.10222641946193625,0.1378311743956458,-0.07519008403518804,0.004762181441656834,0.01431089514287375,1.0,0.31113291332192117,0.18115429730283256,0.11313295091836197,-0.17388041636599952,0.10630220629890047,0.2489501161005928,0.2204281821907475,0.2887545186830328,0.11178588956436318,-0.17560063223815836,-0.021397236167720726,-0.10103302899758257,0.694956094679613,0.6403758586595601,0.3434419030844046,0.17049217798082722,0.34091920807230214
e1,0.10949176007485634,0.1211602197754273,0.00744773280622629,-0.036827631643432564,-0.06825896995440907,0.05054447038364929,-0.016249027339499917,0.31113291332192117,1.0,0.8529403569745128,-0.14966738751218955,-0.13609184974691677,0.1788817556458022,0.07705233325471508,-0.008610454314758669,0.13566839090200333,-0.056790772909691624,-0.1345547322327506,-0.0729293553811874,-0.08643622409116736,0.18949560838211296,0.17541790458106152,0.8368101042710281,0.4274958215017386,0.8410054503928693
e2,0.14350218621444175,0.15505134203781062,0.004843868049338357,-0.027732544363249914,-0.036912848236032296,0.07708579516740244,-0.012334082705507177,0.18115429730283256,0.8529403569745128,1.0,-0.10126515766499544,-0.1847585297667665,0.21387490904361256,0.11026550691619966,0.014641661084936437,0.1736954554103949,-0.056666490089086655,-0.18429689382455522,-0.06799344844314396,-0.09896551412684618,0.04964943532049078,0.05105720928052278,0.6555196771013939,0.6032585288498387,0.6341918067754956
