b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3671.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3567.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3405.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3360.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3298.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3813.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3780.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3935.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3601.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3838.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3490.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3748.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3620.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
170.0,170.0,0.0,3.0,0.0,632.0,56.64,480.0,0.0,0.0,3555.0,0.0,56.666666666666664,26896.0,1968.0,92.52709170183203,3.325381165637239,0.33333333333333337,0.8164530797850351,7.571263212491536,9.7748989295167,0.14210497970492456,0.0,0.0,0.0
120.0,120.0,0.0,2.0,0.0,343.0,43.28,360.0,0.0,0.0,1200.0,0.0,60.0,13456.0,928.0,65.44599169153973,2.2191352415241425,0.33333333333333337,0.5465612849767353,3.8768016607765112,10.386529738079027,0.1271679244360039,0.0,0.0,0.0
120.0,120.0,0.0,2.0,0.0,343.0,43.28,360.0,0.0,0.0,1400.0,0.0,60.0,13456.0,928.0,65.44599169153973,2.2191352415241425,0.33333333333333337,0.5465612849767353,3.8768016607765112,10.386529738079027,0.1271679244360039,0.0,0.0,0.0
120.0,120.0,0.0,2.0,0.0,343.0,43.28,360.0,0.0,0.0,1600.0,0.0,60.0,13456.0,928.0,65.44599169153973,2.2191352415241425,0.33333333333333337,0.5465612849767353,3.8768016607765112,10.386529738079027,0.1271679244360039,0.0,0.0,0.0
120.0,120.0,0.0,3.0,0.0,350.0,43.28,360.0,0.0,0.0,1800.0,0.0,40.0,12996.0,1368.0,64.31761252444421,3.300456104761466,0.33333333333333337,0.8512501216071602,5.986746042164263,10.379306335203717,0.12181661487147744,0.0,0.0,0.0
120.0,120.0,0.0,3.0,0.0,350.0,43.28,360.0,0.0,0.0,1900.0,0.0,40.0,12996.0,1368.0,64.31761252444421,3.300456104761466,0.33333333333333337,0.8512501216071602,5.986746042164263,10.379306335203717,0.12181661487147744,0.0,0.0,0.0
120.0,120.0,0.0,3.0,0.0,350.0,43.28,360.0,0.0,0.0,2000.0,0.0,40.0,12996.0,1368.0,64.31761252444421,3.300456104761466,0.33333333333333337,0.8512501216071602,5.986746042164263,10.379306335203717,0.12181661487147744,0.0,0.0,0.0
150.0,100.0,0.0,2.0,0.0,343.0,43.28,300.0,0.0,0.0,1100.0,0.0,75.0,14016.0,968.0,66.79394706672163,2.26802028563462,0.33333333333333337,0.5473411954861199,3.882242788634654,10.386760804023552,0.12393456932430161,0.0,0.0,0.0
150.0,100.0,0.0,2.0,0.0,343.0,43.28,300.0,0.0,0.0,1300.0,0.0,75.0,14016.0,968.0,66.79394706672163,2.26802028563462,0.33333333333333337,0.5473411954861199,3.882242788634654,10.386760804023552,0.12393456932430161,0.0,0.0,0.0
150.0,100.0,0.0,2.0,0.0,343.0,43.28,300.0,0.0,0.0,1500.0,0.0,75.0,14016.0,968.0,66.79394706672163,2.26802028563462,0.33333333333333337,0.5473411954861199,3.882242788634654,10.386760804023552,0.12393456932430161,0.0,0.0,0.0
150.0,100.0,0.0,3.0,0.0,367.0,43.28,300.0,0.0,0.0,1700.0,0.0,50.0,13536.0,1428.0,65.64025151828557,3.3756099691597967,0.33333333333333337,0.8945748285942765,6.291103553214024,10.379826588146836,0.11967320958799224,0.0,0.0,0.0
150.0,100.0,0.0,3.0,0.0,367.0,43.28,300.0,0.0,0.0,1800.0,0.0,50.0,13536.0,1428.0,65.64025151828557,3.3756099691597967,0.33333333333333337,0.8945748285942765,6.291103553214024,10.379826588146836,0.11967320958799224,0.0,0.0,0.0
150.0,100.0,0.0,3.0,0.0,367.0,43.28,300.0,0.0,0.0,1900.0,0.0,50.0,13536.0,1428.0,65.64025151828557,3.3756099691597967,0.33333333333333337,0.8945748285942765,6.291103553214024,10.379826588146836,0.11967320958799224,0.0,0.0,0.0
180.0,180.0,0.0,5.8,0.0,395.0,62.09,540.0,0.0,0.0,3659.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,10.370702322729482,0.13081439299538497,0.0,0.0,0.0
180.0,180.0,0.0,5.8,0.0,395.0,62.09,540.0,0.0,0.0,3593.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,10.370702322729482,0.13081439299538497,0.0,0.0,0.0
180.0,180.0,0.0,5.8,0.0,395.0,62.09,540.0,0.0,0.0,3705.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,10.370702322729482,0.13081439299538497,0.0,0.0,0.0
180.0,180.0,0.0,5.8,0.0,395.0,62.09,2240.0,0.0,0.0,3217.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,43.019209635026,0.5426374820549302,0.0,0.0,0.0
180.0,180.0,0.0,5.8,0.0,395.0,62.09,2240.0,84.0,84.0,5071.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,43.019209635026,0.5426374820549302,0.4666666666666667,1.0,2.7883713580246914
180.0,180.0,0.0,5.8,0.0,395.0,62.09,2240.0,126.0,126.0,4583.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,43.019209635026,0.5426374820549302,0.7,1.0,4.1825570370370375
180.0,180.0,0.0,5.8,0.0,395.0,62.09,2240.0,168.0,168.0,4057.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,43.019209635026,0.5426374820549302,0.9333333333333333,1.0,5.576742716049383
180.0,180.0,0.0,5.8,0.0,395.0,62.09,2240.0,168.0,168.0,3991.0,0.0,31.03448275862069,28358.56,3906.88,95.00952586944216,6.33349823221927,0.33333333333333337,0.8764382711633445,8.777126219127332,43.019209635026,0.5426374820549302,0.9333333333333333,1.0,5.576742716049383
200.0,200.0,0.0,4.77,0.0,465.0,52.19,600.0,0.0,0.0,3628.0,0.0,41.928721174004195,36275.011600000005,3633.9768,107.45554808250567,5.253926032646788,0.33333333333333337,0.8925658086953868,7.578562015569246,10.380475359057503,0.13556454652754438,0.0,0.0,0.0
200.0,200.0,0.0,4.77,0.0,465.0,52.19,600.0,0.0,0.0,4118.0,0.0,41.928721174004195,36275.011600000005,3633.9768,107.45554808250567,5.253926032646788,0.33333333333333337,0.8925658086953868,7.578562015569246,10.380475359057503,0.13556454652754438,0.0,0.0,0.0
