,b,h,r0,t,R,fy,fc,L,e1,e2,Nexp,r0/h,b/t,Ac,As,Re,te,ke,xi,sigma_re,lambda,lambda_bar,e/h,e1/e2,e_bar
b,1.0,0.9114852828514536,0.6088694716559235,0.30331805586414795,-0.11442459462471535,-0.0017551883257677385,-0.0731592446996239,0.2791378697767941,0.15318923341049395,0.1777835520852739,0.7603592769642699,-0.04375412630978167,0.46001525198910226,0.9096712943342646,0.7640872095455421,0.9674988122524757,0.3221156363256076,-0.062333292612695025,-0.14388671656134838,-0.2104247399059333,-0.15685233264656498,-0.1298545548071935,-0.014871158426076513,0.05348057781128606,-0.014707044695505593
h,0.9114852828514536,1.0,0.6055501540464359,0.36491941114953597,-0.1134150266430754,0.004558178824374619,-0.07024535747368096,0.28787585927344994,0.15798321938114807,0.18274101478128826,0.7735264629270846,-0.07300131233989303,0.38229116533218543,0.9110261387800636,0.8044512770124584,0.9717599768725108,0.3720747958543251,-0.06754267815715916,-0.09553017825929849,-0.20017074664107695,-0.20895826305584858,-0.17873034221489506,-0.022496930522999458,0.05554866897942491,-0.020435469344073358
r0,0.6088694716559235,0.6055501540464359,1.0,0.18198663526043943,-0.08546091917213036,-0.09420126263899711,-0.06308417316658121,0.07430380598672796,0.03013066873608992,0.020454835427087533,0.517828853839828,0.6710155825895469,0.2859914037758859,0.5634176579027961,0.5855885924863278,0.5402693563220534,0.35755265404373376,0.6690773089856207,-0.0005084785692197128,0.1284511177343671,-0.1520641016973793,-0.11745752814270637,-0.09357696943574217,-0.09914808975678528,-0.03095548444643409
t,0.30331805586414795,0.36491941114953597,0.18198663526043943,1.0,-0.14010646931931445,0.19065476821520108,0.2134923349908518,0.14194305216929864,-0.034770708244982004,-0.02391400791068742,0.5213031173512934,-0.06338490829154463,-0.4538918706034221,0.2682126790595616,0.7128842213512339,0.290728364297554,0.9658067617411406,-0.06010444543356961,0.3133811816639001,0.4764538346213928,-0.04917801633008216,-0.029979739129239565,-0.04662350064278024,-0.04968662566555371,-0.038812161697089204
R,-0.11442459462471535,-0.1134150266430754,-0.08546091917213036,-0.14010646931931445,1.0,-0.08126984930398932,-0.19535669598176636,-0.07256036270246233,-0.0647023256457169,-0.044236911104343773,-0.1069614863644751,-0.043227444913062345,-0.02646578064747688,-0.08335267350406966,-0.11621353514183567,-0.10816519962704467,-0.14225133381942962,-0.042820138651689856,0.03869730609482819,-0.10035500316652395,0.0402915005145055,0.017507970129880996,-0.030884129108225244,0.007223163159348563,-0.050308746637658205
fy,-0.0017551883257677385,0.004558178824374619,-0.09420126263899711,0.19065476821520108,-0.08126984930398932,1.0,0.21040063945331813,0.01669231811995821,0.04781499917801209,0.06922416808435312,0.15964594250550093,-0.14013098319731626,-0.14830079428643542,-0.023641598500136512,0.06869829438942332,0.006743084778221312,0.1585569947386838,-0.13687459628983484,0.18036836321787134,0.5329347447375834,-0.018651724608275598,0.06112950674420011,0.04962139278619987,0.05026730287777976,0.049633457116617444
fc,-0.0731592446996239,-0.07024535747368096,-0.06308417316658121,0.2134923349908518,-0.19535669598176636,0.21040063945331813,1.0,-0.00014442143086220574,-0.010378816634868653,-0.006638433177273769,0.10627511096445874,-0.007799081878276316,-0.18495034369479,-0.07582772260794977,0.030107283137772643,-0.07948738037553432,0.2040058844079966,-0.002970034009456351,-0.21169360132442086,0.29199325995825154,-0.017932151285316493,0.09214082827192828,0.015159372149758819,-0.001938229160236648,0.029454559357667713
L,0.2791378697767941,0.28787585927344994,0.07430380598672796,0.14194305216929864,-0.07256036270246233,0.01669231811995821,-0.00014442143086220574,1.0,0.27976727957890646,0.18279777474983064,0.12000782882142702,-0.1795280571002214,0.09638472041461066,0.2547275785871163,0.22728797554630517,0.30006839581755007,0.11114668174335926,-0.18072384642976577,-0.017835015338520933,-0.10184040834475142,0.6596924141667468,0.5764784103683899,0.3139886001683123,0.1651762561362968,0.3067218242851356
e1,0.15318923341049395,0.15798321938114807,0.03013066873608992,-0.034770708244982004,-0.0647023256457169,0.04781499917801209,-0.010378816634868653,0.27976727957890646,1.0,0.8851950251709897,-0.141841573519815,-0.11961948557441245,0.22181330368858543,0.11521889840336591,0.003911136976630568,0.17713034042814588,-0.05539111362800121,-0.11965443022064033,-0.07396728560229761,-0.07985557726836952,0.13727191512146047,0.1212727771631512,0.8229717101109707,0.4424951881948876,0.8250815949857461
e2,0.1777835520852739,0.18274101478128826,0.020454835427087533,-0.02391400791068742,-0.044236911104343773,0.06922416808435312,-0.006638433177273769,0.18279777474983064,0.8851950251709897,1.0,-0.10170889249401185,-0.160020622540919,0.24273792916009929,0.14054786387863333,0.022048432182802724,0.20509766342731792,-0.05295818858602874,-0.16083295411489446,-0.06952904031595573,-0.08566690874912537,0.03757807124389959,0.035557616588583106,0.6995995385422904,0.5736771789130797,0.6817440259027272
