b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
170,170,0,3,0,632,56.64,480,0,0,3671,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3567,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3405,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3360,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3298,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3813,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3780,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3935,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3601,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3838,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3490,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3748,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3620,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
170,170,0,3,0,632,56.64,480,0,0,3555,0,56.66666667,26896,1968,92.5270917,3.325381166,0.333333333,0.81645308,7.571263212,9.77489893,0.14210498,0,0,0
120,120,0,2,0,343,43.28,360,0,0,1200,0,60,13456,928,65.44599169,2.219135242,0.333333333,0.546561285,3.876801661,10.38652974,0.127167924,0,0,0
120,120,0,2,0,343,43.28,360,0,0,1400,0,60,13456,928,65.44599169,2.219135242,0.333333333,0.546561285,3.876801661,10.38652974,0.127167924,0,0,0
120,120,0,2,0,343,43.28,360,0,0,1600,0,60,13456,928,65.44599169,2.219135242,0.333333333,0.546561285,3.876801661,10.38652974,0.127167924,0,0,0
120,120,0,3,0,350,43.28,360,0,0,1800,0,40,12996,1368,64.31761252,3.300456105,0.333333333,0.851250122,5.986746042,10.37930634,0.121816615,0,0,0
120,120,0,3,0,350,43.28,360,0,0,1900,0,40,12996,1368,64.31761252,3.300456105,0.333333333,0.851250122,5.986746042,10.37930634,0.121816615,0,0,0
120,120,0,3,0,350,43.28,360,0,0,2000,0,40,12996,1368,64.31761252,3.300456105,0.333333333,0.851250122,5.986746042,10.37930634,0.121816615,0,0,0
150,100,0,2,0,343,43.28,300,0,0,1100,0,75,14016,968,66.79394707,2.268020286,0.333333333,0.547341195,3.882242789,10.3867608,0.123934569,0,0,0
150,100,0,2,0,343,43.28,300,0,0,1300,0,75,14016,968,66.79394707,2.268020286,0.333333333,0.547341195,3.882242789,10.3867608,0.123934569,0,0,0
