csv_row_num,actual,predicted,error,abs_error,rel_error_pct
3815,30000,17626.938,12373.0625,12373.0625,41.24354167
78,16636,12797.699,3838.300781,3838.300781,23.07225764
32,5071,2427.7048,2643.295166,2643.295166,52.12571812
111,7236.2,9633.55,-2397.349805,2397.349805,-33.12995501
3979,13776,11453.66,2322.339844,2322.339844,16.85786762
34,4057,1827.9119,2229.088135,2229.088135,54.94424784
35,3991,1827.9119,2163.088135,2163.088135,54.19915146
3271,14080,16240.523,-2160.523438,2160.523438,-15.34462669
1363,4095.7,5922.087,-1826.386914,1826.386914,-44.59279034
644,7077,5422.035,1654.964844,1654.964844,23.38511861
47,7977,6406.8457,1570.154297,1570.154297,19.68351883
1346,11187,12723.284,-1536.28418,1536.28418,-13.73276285
2837,14406,12892.563,1513.436523,1513.436523,10.50559852
1295,9542.06,8155.5225,1386.537539,1386.537539,14.53079879
2838,14161,12892.563,1268.436523,1268.436523,8.957252478
316,10260,11437.45,-1177.450195,1177.450195,-11.47612276
3045,4700,3528.145,1171.85498,1171.85498,24.93308469
2718,4862,5948.2207,-1086.220703,1086.220703,-22.34102639
912,9987,8902.621,1084.378906,1084.378906,10.85790434
31,3217,4268.9097,-1051.909668,1051.909668,-32.69846652
497,4100,3049.4644,1050.535645,1050.535645,25.6228206
2359,4800,3847.6084,952.3916016,952.3916016,19.8414917
914,3952,3003.2666,948.7333984,948.7333984,24.0064119
1202,7901,6953.511,947.4887695,947.4887695,11.99201075
2109,771.2,1679.1339,-907.9339111,907.9339111,-117.7300196
3270,15353,16240.523,-887.5234375,887.5234375,-5.78078185
1863,3924,3039.645,884.3549805,884.3549805,22.53707901
2939,1023.04,1901.1573,-878.1173486,878.1173486,-85.83411681
3268,15402,16240.523,-838.5234375,838.5234375,-5.444250341
224,3600,4424.235,-824.2348633,824.2348633,-22.89541287
71,3011.81,2202.3638,809.4462305,809.4462305,26.87574019
1215,3317.33,2514.8992,802.4308301,802.4308301,24.18905656
